province,adcode,model,bodyType,regYear,regMonth,salesVolume
10,7,26,3,2016,1,444
11,11,26,3,2016,1,527
12,1,26,3,2016,1,1277
13,13,26,3,2016,1,1463
14,8,26,3,2016,1,450
15,14,26,3,2016,1,427
16,15,26,3,2016,1,899
17,10,26,3,2016,1,201
18,4,26,3,2016,1,295
19,18,26,3,2016,1,218
20,21,26,3,2016,1,785
21,5,26,3,2016,1,272
0,6,31,2,2016,1,320
1,20,31,2,2016,1,785
2,3,31,2,2016,1,363
3,0,31,2,2016,1,362
4,19,31,2,2016,1,1794
5,9,31,2,2016,1,1233
6,12,31,2,2016,1,1412
7,2,31,2,2016,1,494
8,16,31,2,2016,1,1574
9,17,31,2,2016,1,527
10,7,31,2,2016,1,1591
11,11,31,2,2016,1,905
12,1,31,2,2016,1,1293
13,13,31,2,2016,1,1515
14,8,31,2,2016,1,1861
15,14,31,2,2016,1,1123
16,15,31,2,2016,1,1080
17,10,31,2,2016,1,489
18,4,31,2,2016,1,351
19,18,31,2,2016,1,459
20,21,31,2,2016,1,709
21,5,31,2,2016,1,587
0,6,21,2,2016,1,871
1,20,21,2,2016,1,1704
2,3,21,2,2016,1,744
3,0,21,2,2016,1,963
4,19,21,2,2016,1,3386
5,9,21,2,2016,1,2327
6,12,21,2,2016,1,3259
7,2,21,2,2016,1,885
8,16,21,2,2016,1,3438
9,17,21,2,2016,1,898
10,7,21,2,2016,1,3796
11,11,21,2,2016,1,1595
12,1,21,2,2016,1,2546
13,13,21,2,2016,1,4567
14,8,21,2,2016,1,3658
15,14,21,2,2016,1,2416
16,15,21,2,2016,1,2539
17,10,21,2,2016,1,820
18,4,21,2,2016,1,967
19,18,21,2,2016,1,1093
20,21,21,2,2016,1,1187
21,5,21,2,2016,1,797
0,6,8,3,2016,1,1357
1,20,8,3,2016,1,572
2,3,8,3,2016,1,624
3,0,8,3,2016,1,1794
4,19,8,3,2016,1,933
5,9,8,3,2016,1,1168
6,12,8,3,2016,1,1944
7,2,8,3,2016,1,1214
8,16,8,3,2016,1,542
9,17,8,3,2016,1,218
10,7,8,3,2016,1,2309
11,11,8,3,2016,1,722
12,1,8,3,2016,1,1886
13,13,8,3,2016,1,1577
14,8,8,3,2016,1,1114
15,14,8,3,2016,1,523
16,15,8,3,2016,1,747
17,10,8,3,2016,1,584
18,4,8,3,2016,1,263
19,18,8,3,2016,1,800
20,21,8,3,2016,1,789
21,5,8,3,2016,1,183
0,6,12,3,2016,1,46
1,20,12,3,2016,1,1285
2,3,12,3,2016,1,1314
3,0,12,3,2016,1,945
4,19,12,3,2016,1,2222
5,9,12,3,2016,1,607
6,12,12,3,2016,1,4027
7,2,12,3,2016,1,1234
8,16,12,3,2016,1,1556
9,17,12,3,2016,1,493
10,7,12,3,2016,1,917
11,11,12,3,2016,1,496
12,1,12,3,2016,1,3740
13,13,12,3,2016,1,2560
14,8,12,3,2016,1,800
15,14,12,3,2016,1,841
16,15,12,3,2016,1,2251
17,10,12,3,2016,1,788
18,4,12,3,2016,1,1349
19,18,12,3,2016,1,234
20,21,12,3,2016,1,1113
21,5,12,3,2016,1,1494
0,6,23,3,2016,1,2375
1,20,23,3,2016,1,1009
2,3,23,3,2016,1,744
3,0,23,3,2016,1,1468
4,19,23,3,2016,1,2462
5,9,23,3,2016,1,3082
6,12,23,3,2016,1,5502
7,2,23,3,2016,1,2073
8,16,23,3,2016,1,2669
9,17,23,3,2016,1,722
10,7,23,3,2016,1,5630
11,11,23,3,2016,1,2694
12,1,23,3,2016,1,4516
13,13,23,3,2016,1,4592
14,8,23,3,2016,1,3120
15,14,23,3,2016,1,2590
16,15,23,3,2016,1,2791
17,10,23,3,2016,1,1609
18,4,23,3,2016,1,916
19,18,23,3,2016,1,1039
20,21,23,3,2016,1,1658
21,5,23,3,2016,1,399
0,6,52,3,2016,1,968
1,20,52,3,2016,1,612
2,3,52,3,2016,1,712
3,0,52,3,2016,1,529
4,19,52,3,2016,1,1515
5,9,52,3,2016,1,1394
6,12,52,3,2016,1,5127
7,2,52,3,2016,1,2427
8,16,52,3,2016,1,467
9,17,52,3,2016,1,403
10,7,52,3,2016,1,1366
11,11,52,3,2016,1,955
12,1,52,3,2016,1,4674
13,13,52,3,2016,1,2819
14,8,52,3,2016,1,1400
15,14,52,3,2016,1,677
16,15,52,3,2016,1,1213
17,10,52,3,2016,1,500
18,4,52,3,2016,1,790
19,18,52,3,2016,1,587
20,21,52,3,2016,1,916
21,5,52,3,2016,1,447
0,6,47,3,2016,1,317
1,20,47,3,2016,1,523
2,3,47,3,2016,1,445
3,0,47,3,2016,1,1279
4,19,47,3,2016,1,985
5,9,47,3,2016,1,594
6,12,47,3,2016,1,1527
7,2,47,3,2016,1,453
8,16,47,3,2016,1,752
9,17,47,3,2016,1,211
10,7,47,3,2016,1,1523
11,11,47,3,2016,1,379
12,1,47,3,2016,1,1612
13,13,47,3,2016,1,1352
14,8,47,3,2016,1,764
15,14,47,3,2016,1,493
16,15,47,3,2016,1,508
17,10,47,3,2016,1,492
18,4,47,3,2016,1,638
19,18,47,3,2016,1,313
20,21,47,3,2016,1,491
21,5,47,3,2016,1,789
0,6,40,2,2016,1,1571
1,20,40,2,2016,1,844
2,3,40,2,2016,1,349
3,0,40,2,2016,1,1075
4,19,40,2,2016,1,1631
5,9,40,2,2016,1,1305
6,12,40,2,2016,1,1420
7,2,40,2,2016,1,469
8,16,40,2,2016,1,2185
9,17,40,2,2016,1,412
10,7,40,2,2016,1,2303
11,11,40,2,2016,1,1219
12,1,40,2,2016,1,1075
13,13,40,2,2016,1,1463
14,8,40,2,2016,1,3182
15,14,40,2,2016,1,1269
16,15,40,2,2016,1,1418
17,10,40,2,2016,1,1432
18,4,40,2,2016,1,417
19,18,40,2,2016,1,651
20,21,40,2,2016,1,640
21,5,40,2,2016,1,352
0,6,16,3,2016,1,502
1,20,16,3,2016,1,704
2,3,16,3,2016,1,749
3,0,16,3,2016,1,1396
4,19,16,3,2016,1,2380
5,9,16,3,2016,1,1207
6,12,16,3,2016,1,2790
7,2,16,3,2016,1,831
8,16,16,3,2016,1,1467
9,17,16,3,2016,1,447
10,7,16,3,2016,1,2903
11,11,16,3,2016,1,698
12,1,16,3,2016,1,2975
13,13,16,3,2016,1,2415
14,8,16,3,2016,1,2040
15,14,16,3,2016,1,1338
16,15,16,3,2016,1,901
17,10,16,3,2016,1,813
18,4,16,3,2016,1,1069
19,18,16,3,2016,1,402
20,21,16,3,2016,1,832
21,5,16,3,2016,1,857
0,6,28,0,2016,1,532
1,20,28,0,2016,1,384
2,3,28,0,2016,1,353
3,0,28,0,2016,1,817
4,19,28,0,2016,1,707
5,9,28,0,2016,1,569
6,12,28,0,2016,1,1583
7,2,28,0,2016,1,271
8,16,28,0,2016,1,817
9,17,28,0,2016,1,263
10,7,28,0,2016,1,1924
11,11,28,0,2016,1,394
12,1,28,0,2016,1,1284
13,13,28,0,2016,1,972
14,8,28,0,2016,1,1451
15,14,28,0,2016,1,472
16,15,28,0,2016,1,503
17,10,28,0,2016,1,482
18,4,28,0,2016,1,401
19,18,28,0,2016,1,153
20,21,28,0,2016,1,384
21,5,28,0,2016,1,285
0,6,11,2,2016,1,305
1,20,11,2,2016,1,251
2,3,11,2,2016,1,312
3,0,11,2,2016,1,432
4,19,11,2,2016,1,824
5,9,11,2,2016,1,1721
6,12,11,2,2016,1,1900
7,2,11,2,2016,1,488
8,16,11,2,2016,1,375
9,17,11,2,2016,1,188
10,7,11,2,2016,1,859
11,11,11,2,2016,1,386
12,1,11,2,2016,1,1327
13,13,11,2,2016,1,1147
14,8,11,2,2016,1,368
15,14,11,2,2016,1,689
16,15,11,2,2016,1,638
17,10,11,2,2016,1,177
18,4,11,2,2016,1,514
19,18,11,2,2016,1,518
20,21,11,2,2016,1,356
21,5,11,2,2016,1,328
0,6,0,3,2016,1,617
1,20,0,3,2016,1,238
2,3,0,3,2016,1,92
3,0,0,3,2016,1,799
4,19,0,3,2016,1,559
5,9,0,3,2016,1,285
6,12,0,3,2016,1,516
7,2,0,3,2016,1,102
8,16,0,3,2016,1,1364
9,17,0,3,2016,1,125
10,7,0,3,2016,1,1709
11,11,0,3,2016,1,204
12,1,0,3,2016,1,325
13,13,0,3,2016,1,355
14,8,0,3,2016,1,1444
15,14,0,3,2016,1,264
16,15,0,3,2016,1,313
17,10,0,3,2016,1,456
18,4,0,3,2016,1,231
19,18,0,3,2016,1,275
20,21,0,3,2016,1,270
21,5,0,3,2016,1,39
0,6,20,2,2016,1,379
1,20,20,2,2016,1,201
2,3,20,2,2016,1,103
3,0,20,2,2016,1,484
4,19,20,2,2016,1,426
5,9,20,2,2016,1,228
6,12,20,2,2016,1,357
7,2,20,2,2016,1,99
8,16,20,2,2016,1,663
9,17,20,2,2016,1,110
10,7,20,2,2016,1,896
11,11,20,2,2016,1,153
12,1,20,2,2016,1,244
13,13,20,2,2016,1,199
14,8,20,2,2016,1,771
15,14,20,2,2016,1,287
16,15,20,2,2016,1,244
17,10,20,2,2016,1,300
18,4,20,2,2016,1,163
19,18,20,2,2016,1,167
20,21,20,2,2016,1,190
21,5,20,2,2016,1,57
0,6,35,2,2016,1,445
1,20,35,2,2016,1,146
2,3,35,2,2016,1,75
3,0,35,2,2016,1,751
4,19,35,2,2016,1,405
5,9,35,2,2016,1,197
6,12,35,2,2016,1,345
7,2,35,2,2016,1,100
8,16,35,2,2016,1,781
9,17,35,2,2016,1,90
10,7,35,2,2016,1,839
11,11,35,2,2016,1,113
12,1,35,2,2016,1,230
13,13,35,2,2016,1,217
14,8,35,2,2016,1,742
15,14,35,2,2016,1,251
16,15,35,2,2016,1,158
17,10,35,2,2016,1,250
18,4,35,2,2016,1,233
19,18,35,2,2016,1,151
20,21,35,2,2016,1,241
21,5,35,2,2016,1,65
0,6,41,0,2016,1,185
1,20,41,0,2016,1,48
2,3,41,0,2016,1,30
3,0,41,0,2016,1,175
4,19,41,0,2016,1,142
5,9,41,0,2016,1,64
6,12,41,0,2016,1,172
7,2,41,0,2016,1,29
8,16,41,0,2016,1,215
9,17,41,0,2016,1,32
10,7,41,0,2016,1,418
11,11,41,0,2016,1,62
12,1,41,0,2016,1,125
13,13,41,0,2016,1,97
14,8,41,0,2016,1,325
15,14,41,0,2016,1,88
16,15,41,0,2016,1,79
17,10,41,0,2016,1,86
18,4,41,0,2016,1,143
19,18,41,0,2016,1,26
20,21,41,0,2016,1,70
21,5,41,0,2016,1,13
0,6,53,3,2016,1,699
1,20,53,3,2016,1,272
2,3,53,3,2016,1,156
3,0,53,3,2016,1,802
4,19,53,3,2016,1,730
5,9,53,3,2016,1,402
6,12,53,3,2016,1,609
7,2,53,3,2016,1,168
8,16,53,3,2016,1,883
9,17,53,3,2016,1,143
10,7,53,3,2016,1,1261
11,11,53,3,2016,1,248
12,1,53,3,2016,1,460
13,13,53,3,2016,1,440
14,8,53,3,2016,1,1571
15,14,53,3,2016,1,405
16,15,53,3,2016,1,423
17,10,53,3,2016,1,317
18,4,53,3,2016,1,358
19,18,53,3,2016,1,224
20,21,53,3,2016,1,337
21,5,53,3,2016,1,165
0,6,42,2,2016,1,400
1,20,42,2,2016,1,199
2,3,42,2,2016,1,149
3,0,42,2,2016,1,436
4,19,42,2,2016,1,450
5,9,42,2,2016,1,314
6,12,42,2,2016,1,375
7,2,42,2,2016,1,142
8,16,42,2,2016,1,782
9,17,42,2,2016,1,131
10,7,42,2,2016,1,865
11,11,42,2,2016,1,192
12,1,42,2,2016,1,246
13,13,42,2,2016,1,284
14,8,42,2,2016,1,894
15,14,42,2,2016,1,375
16,15,42,2,2016,1,397
17,10,42,2,2016,1,310
18,4,42,2,2016,1,201
19,18,42,2,2016,1,119
20,21,42,2,2016,1,186
21,5,42,2,2016,1,89
0,6,50,2,2016,1,616
1,20,50,2,2016,1,351
2,3,50,2,2016,1,187
3,0,50,2,2016,1,924
4,19,50,2,2016,1,821
5,9,50,2,2016,1,342
6,12,50,2,2016,1,603
7,2,50,2,2016,1,162
8,16,50,2,2016,1,1584
9,17,50,2,2016,1,206
10,7,50,2,2016,1,1186
11,11,50,2,2016,1,311
12,1,50,2,2016,1,413
13,13,50,2,2016,1,511
14,8,50,2,2016,1,1337
15,14,50,2,2016,1,558
16,15,50,2,2016,1,602
17,10,50,2,2016,1,426
18,4,50,2,2016,1,399
19,18,50,2,2016,1,257
20,21,50,2,2016,1,363
21,5,50,2,2016,1,178
0,6,24,3,2016,1,673
1,20,24,3,2016,1,272
2,3,24,3,2016,1,68
3,0,24,3,2016,1,694
4,19,24,3,2016,1,562
5,9,24,3,2016,1,361
6,12,24,3,2016,1,484
7,2,24,3,2016,1,61
8,16,24,3,2016,1,1303
9,17,24,3,2016,1,142
10,7,24,3,2016,1,1221
11,11,24,3,2016,1,211
12,1,24,3,2016,1,290
13,13,24,3,2016,1,302
14,8,24,3,2016,1,1803
15,14,24,3,2016,1,272
16,15,24,3,2016,1,420
17,10,24,3,2016,1,336
18,4,24,3,2016,1,204
19,18,24,3,2016,1,206
20,21,24,3,2016,1,188
21,5,24,3,2016,1,67
0,6,27,1,2016,1,754
1,20,27,1,2016,1,1235
2,3,27,1,2016,1,207
3,0,27,1,2016,1,920
4,19,27,1,2016,1,1477
5,9,27,1,2016,1,2000
6,12,27,1,2016,1,3560
7,2,27,1,2016,1,629
8,16,27,1,2016,1,6216
9,17,27,1,2016,1,4995
10,7,27,1,2016,1,2589
11,11,27,1,2016,1,1019
12,1,27,1,2016,1,1562
13,13,27,1,2016,1,7181
14,8,27,1,2016,1,1860
15,14,27,1,2016,1,1580
16,15,27,1,2016,1,1663
17,10,27,1,2016,1,897
18,4,27,1,2016,1,494
19,18,27,1,2016,1,745
20,21,27,1,2016,1,954
21,5,27,1,2016,1,474
0,6,4,3,2016,1,1329
1,20,4,3,2016,1,412
2,3,4,3,2016,1,836
3,0,4,3,2016,1,595
4,19,4,3,2016,1,1109
5,9,4,3,2016,1,676
6,12,4,3,2016,1,2189
7,2,4,3,2016,1,439
8,16,4,3,2016,1,385
9,17,4,3,2016,1,217
10,7,4,3,2016,1,2487
11,11,4,3,2016,1,719
12,1,4,3,2016,1,1190
13,13,4,3,2016,1,1052
14,8,4,3,2016,1,1069
15,14,4,3,2016,1,473
16,15,4,3,2016,1,736
17,10,4,3,2016,1,545
18,4,4,3,2016,1,215
19,18,4,3,2016,1,212
20,21,4,3,2016,1,1380
21,5,4,3,2016,1,237
0,6,1,3,2016,1,388
1,20,1,3,2016,1,55
2,3,1,3,2016,1,44
3,0,1,3,2016,1,135
4,19,1,3,2016,1,120
5,9,1,3,2016,1,71
6,12,1,3,2016,1,219
7,2,1,3,2016,1,37
8,16,1,3,2016,1,126
9,17,1,3,2016,1,41
10,7,1,3,2016,1,265
11,11,1,3,2016,1,79
12,1,1,3,2016,1,119
13,13,1,3,2016,1,95
14,8,1,3,2016,1,146
15,14,1,3,2016,1,61
16,15,1,3,2016,1,127
17,10,1,3,2016,1,85
18,4,1,3,2016,1,39
19,18,1,3,2016,1,22
20,21,1,3,2016,1,77
21,5,1,3,2016,1,30
0,6,51,3,2016,1,344
1,20,51,3,2016,1,106
2,3,51,3,2016,1,126
3,0,51,3,2016,1,391
4,19,51,3,2016,1,670
5,9,51,3,2016,1,289
6,12,51,3,2016,1,594
7,2,51,3,2016,1,222
8,16,51,3,2016,1,1663
9,17,51,3,2016,1,402
10,7,51,3,2016,1,829
11,11,51,3,2016,1,276
12,1,51,3,2016,1,374
13,13,51,3,2016,1,282
14,8,51,3,2016,1,747
15,14,51,3,2016,1,647
16,15,51,3,2016,1,472
17,10,51,3,2016,1,572
18,4,51,3,2016,1,375
19,18,51,3,2016,1,324
20,21,51,3,2016,1,163
21,5,51,3,2016,1,105
0,6,22,2,2016,1,480
1,20,22,2,2016,1,456
2,3,22,2,2016,1,507
3,0,22,2,2016,1,929
4,19,22,2,2016,1,1262
5,9,22,2,2016,1,324
6,12,22,2,2016,1,697
7,2,22,2,2016,1,281
8,16,22,2,2016,1,2451
9,17,22,2,2016,1,425
10,7,22,2,2016,1,897
11,11,22,2,2016,1,329
12,1,22,2,2016,1,770
13,13,22,2,2016,1,563
14,8,22,2,2016,1,876
15,14,22,2,2016,1,1485
16,15,22,2,2016,1,776
17,10,22,2,2016,1,586
18,4,22,2,2016,1,777
19,18,22,2,2016,1,547
20,21,22,2,2016,1,645
21,5,22,2,2016,1,397
0,6,37,3,2016,1,202
1,20,37,3,2016,1,204
2,3,37,3,2016,1,185
3,0,37,3,2016,1,179
4,19,37,3,2016,1,521
5,9,37,3,2016,1,340
6,12,37,3,2016,1,523
7,2,37,3,2016,1,218
8,16,37,3,2016,1,1448
9,17,37,3,2016,1,265
10,7,37,3,2016,1,695
11,11,37,3,2016,1,357
12,1,37,3,2016,1,350
13,13,37,3,2016,1,499
14,8,37,3,2016,1,693
15,14,37,3,2016,1,525
16,15,37,3,2016,1,468
17,10,37,3,2016,1,448
18,4,37,3,2016,1,466
19,18,37,3,2016,1,242
20,21,37,3,2016,1,167
21,5,37,3,2016,1,154
0,6,3,3,2016,1,359
1,20,3,3,2016,1,276
2,3,3,3,2016,1,439
3,0,3,3,2016,1,309
4,19,3,3,2016,1,1085
5,9,3,3,2016,1,445
6,12,3,3,2016,1,2478
7,2,3,3,2016,1,729
8,16,3,3,2016,1,9433
9,17,3,3,2016,1,1169
10,7,3,3,2016,1,1739
11,11,3,3,2016,1,712
12,1,3,3,2016,1,1469
13,13,3,3,2016,1,1652
14,8,3,3,2016,1,775
15,14,3,3,2016,1,786
16,15,3,3,2016,1,1956
17,10,3,3,2016,1,1153
18,4,3,3,2016,1,2384
19,18,3,3,2016,1,216
20,21,3,3,2016,1,354
21,5,3,3,2016,1,569
0,6,32,2,2016,1,295
1,20,32,2,2016,1,412
2,3,32,2,2016,1,339
3,0,32,2,2016,1,541
4,19,32,2,2016,1,519
5,9,32,2,2016,1,480
6,12,32,2,2016,1,1193
7,2,32,2,2016,1,509
8,16,32,2,2016,1,3704
9,17,32,2,2016,1,369
10,7,32,2,2016,1,1101
11,11,32,2,2016,1,496
12,1,32,2,2016,1,689
13,13,32,2,2016,1,1153
14,8,32,2,2016,1,915
15,14,32,2,2016,1,1600
16,15,32,2,2016,1,877
17,10,32,2,2016,1,851
18,4,32,2,2016,1,870
19,18,32,2,2016,1,281
20,21,32,2,2016,1,508
21,5,32,2,2016,1,579
0,6,46,2,2016,1,278
1,20,46,2,2016,1,291
2,3,46,2,2016,1,213
3,0,46,2,2016,1,270
4,19,46,2,2016,1,432
5,9,46,2,2016,1,409
6,12,46,2,2016,1,768
7,2,46,2,2016,1,300
8,16,46,2,2016,1,2724
9,17,46,2,2016,1,282
10,7,46,2,2016,1,1090
11,11,46,2,2016,1,310
12,1,46,2,2016,1,439
13,13,46,2,2016,1,622
14,8,46,2,2016,1,868
15,14,46,2,2016,1,1097
16,15,46,2,2016,1,557
17,10,46,2,2016,1,657
18,4,46,2,2016,1,414
19,18,46,2,2016,1,180
20,21,46,2,2016,1,357
21,5,46,2,2016,1,323
0,6,29,1,2016,1,246
1,20,29,1,2016,1,30
2,3,29,1,2016,1,19
3,0,29,1,2016,1,406
4,19,29,1,2016,1,59
5,9,29,1,2016,1,66
6,12,29,1,2016,1,346
7,2,29,1,2016,1,118
8,16,29,1,2016,1,1350
9,17,29,1,2016,1,37
10,7,29,1,2016,1,384
11,11,29,1,2016,1,52
12,1,29,1,2016,1,221
13,13,29,1,2016,1,191
14,8,29,1,2016,1,296
15,14,29,1,2016,1,65
16,15,29,1,2016,1,46
17,10,29,1,2016,1,96
18,4,29,1,2016,1,144
19,18,29,1,2016,1,20
20,21,29,1,2016,1,22
21,5,29,1,2016,1,82
0,6,58,2,2016,1,409
1,20,58,2,2016,1,380
2,3,58,2,2016,1,170
3,0,58,2,2016,1,405
4,19,58,2,2016,1,599
5,9,58,2,2016,1,571
6,12,58,2,2016,1,685
7,2,58,2,2016,1,358
8,16,58,2,2016,1,5181
9,17,58,2,2016,1,523
10,7,58,2,2016,1,1233
