province,adcode,model,regYear,regMonth,popularity
13,13,32,2016,8,242
13,13,32,2016,9,397
13,13,32,2016,10,320
13,13,32,2016,11,237
13,13,32,2016,12,233
13,13,32,2017,1,214
13,13,32,2017,2,245
13,13,32,2017,3,393
13,13,32,2017,4,351
13,13,32,2017,5,628
13,13,32,2017,6,455
13,13,32,2017,7,542
13,13,32,2017,8,663
13,13,32,2017,9,913
13,13,32,2017,10,553
13,13,32,2017,11,679
13,13,32,2017,12,883
13,13,2,2016,1,2996
13,13,2,2016,2,3096
13,13,2,2016,3,2379
13,13,2,2016,4,2195
13,13,2,2016,5,2331
13,13,2,2016,6,2377
13,13,2,2016,7,2390
13,13,2,2016,8,2362
13,13,2,2016,9,2318
13,13,2,2016,10,2462
13,13,2,2016,11,2315
13,13,2,2016,12,2648
13,13,2,2017,1,2589
13,13,2,2017,2,2651
13,13,2,2017,3,1893
13,13,2,2017,4,1672
13,13,2,2017,5,2025
13,13,2,2017,6,2244
13,13,2,2017,7,1943
13,13,2,2017,8,1982
13,13,2,2017,9,2083
13,13,2,2017,10,2345
13,13,2,2017,11,2217
13,13,2,2017,12,2234
13,13,49,2016,1,19955
13,13,49,2016,2,5563
13,13,49,2016,3,3888
13,13,49,2016,4,3700
13,13,49,2016,5,3873
13,13,49,2016,6,3024
13,13,49,2016,7,2805
13,13,49,2016,8,2573
13,13,49,2016,9,2702
13,13,49,2016,10,2647
13,13,49,2016,11,2820
13,13,49,2016,12,3320
13,13,49,2017,1,3180
13,13,49,2017,2,3050
13,13,49,2017,3,16181
13,13,49,2017,4,19305
13,13,49,2017,5,4848
13,13,49,2017,6,4796
13,13,49,2017,7,4114
13,13,49,2017,8,4381
13,13,49,2017,9,4795
13,13,49,2017,10,6023
13,13,49,2017,11,11179
13,13,49,2017,12,26374
13,13,58,2016,1,4644
13,13,58,2016,2,4435
13,13,58,2016,3,3421
13,13,58,2016,4,2999
13,13,58,2016,5,3080
13,13,58,2016,6,3512
13,13,58,2016,7,3608
13,13,58,2016,8,3747
13,13,58,2016,9,4410
13,13,58,2016,10,4258
13,13,58,2016,11,4232
13,13,58,2016,12,4563
13,13,58,2017,1,4687
13,13,58,2017,2,4954
13,13,58,2017,3,3405
13,13,58,2017,4,2415
13,13,58,2017,5,2414
13,13,58,2017,6,2179
13,13,58,2017,7,2180
13,13,58,2017,8,2418
13,13,58,2017,9,2639
13,13,58,2017,10,2648
13,13,58,2017,11,2681
13,13,58,2017,12,2008
13,13,54,2016,1,3916
13,13,54,2016,2,3341
13,13,54,2016,3,2374
13,13,54,2016,4,2157
13,13,54,2016,5,2446
13,13,54,2016,6,2426
13,13,54,2016,7,2422
13,13,54,2016,8,2595
13,13,54,2016,9,2736
13,13,54,2016,10,3021
13,13,54,2016,11,3559
13,13,54,2016,12,4520
13,13,54,2017,1,3455
13,13,54,2017,2,3569
13,13,54,2017,3,2820
13,13,54,2017,4,2512
13,13,54,2017,5,2776
13,13,54,2017,6,2604
13,13,54,2017,7,1765
13,13,54,2017,8,1355
13,13,54,2017,9,1143
13,13,54,2017,10,1708
13,13,54,2017,11,2412
13,13,54,2017,12,2871
13,13,47,2016,1,2905
13,13,47,2016,2,4029
13,13,47,2016,3,2799
13,13,47,2016,4,2508
13,13,47,2016,5,2193
13,13,47,2016,6,2016
13,13,47,2016,7,1943
13,13,47,2016,8,1818
13,13,47,2016,9,1871
13,13,47,2016,10,1811
13,13,47,2016,11,1739
13,13,47,2016,12,1855
13,13,47,2017,1,2333
13,13,47,2017,2,2458
13,13,47,2017,3,2029
13,13,47,2017,4,1783
13,13,47,2017,5,2326
13,13,47,2017,6,2261
13,13,47,2017,7,2254
13,13,47,2017,8,2132
13,13,47,2017,9,2370
13,13,47,2017,10,2757
13,13,47,2017,11,3157
13,13,47,2017,12,3284
13,13,33,2016,1,3102
13,13,33,2016,2,3137
13,13,33,2016,3,2539
13,13,33,2016,4,2202
13,13,33,2016,5,2383
13,13,33,2016,6,2136
13,13,33,2016,7,2084
13,13,33,2016,8,2046
13,13,33,2016,9,2285
13,13,33,2016,10,2618
13,13,33,2016,11,2561
13,13,33,2016,12,3012
13,13,33,2017,1,3272
13,13,33,2017,2,3705
13,13,33,2017,3,3288
13,13,33,2017,4,2690
13,13,33,2017,5,3004
13,13,33,2017,6,3128
13,13,33,2017,7,3119
13,13,33,2017,8,3171
13,13,33,2017,9,3239
13,13,33,2017,10,3664
13,13,33,2017,11,3173
13,13,33,2017,12,3945
13,13,56,2016,1,7564
13,13,56,2016,2,9035
13,13,56,2016,3,5692
13,13,56,2016,4,4814
13,13,56,2016,5,4222
13,13,56,2016,6,4330
13,13,56,2016,7,5473
13,13,56,2016,8,5776
13,13,56,2016,9,6773
13,13,56,2016,10,7332
13,13,56,2016,11,6870
13,13,56,2016,12,7637
13,13,56,2017,1,7200
13,13,56,2017,2,7545
13,13,56,2017,3,5460
13,13,56,2017,4,3764
13,13,56,2017,5,4024
13,13,56,2017,6,4036
13,13,56,2017,7,3500
13,13,56,2017,8,3327
13,13,56,2017,9,3282
13,13,56,2017,10,3143
13,13,56,2017,11,4404
13,13,56,2017,12,5326
13,13,15,2016,1,3915
13,13,15,2016,2,4339
13,13,15,2016,3,3111
13,13,15,2016,4,2635
13,13,15,2016,5,3146
13,13,15,2016,6,3156
13,13,15,2016,7,3384
13,13,15,2016,8,3576
13,13,15,2016,9,3509
13,13,15,2016,10,4029
13,13,15,2016,11,3490
13,13,15,2016,12,3735
13,13,15,2017,1,3172
13,13,15,2017,2,3282
13,13,15,2017,3,2311
13,13,15,2017,4,2115
13,13,15,2017,5,2660
13,13,15,2017,6,2305
13,13,15,2017,7,2358
13,13,15,2017,8,2589
13,13,15,2017,9,2639
13,13,15,2017,10,2560
13,13,15,2017,11,1856
13,13,15,2017,12,2216
13,13,13,2016,1,3483
13,13,13,2016,2,4808
13,13,13,2016,3,3290
13,13,13,2016,4,2760
13,13,13,2016,5,2837
13,13,13,2016,6,2686
13,13,13,2016,7,2724
13,13,13,2016,8,2880
13,13,13,2016,9,3441
13,13,13,2016,10,3452
13,13,13,2016,11,3360
13,13,13,2016,12,3387
13,13,13,2017,1,3603
13,13,13,2017,2,3635
13,13,13,2017,3,2296
13,13,13,2017,4,1624
13,13,13,2017,5,1920
13,13,13,2017,6,1880
13,13,13,2017,7,1528
13,13,13,2017,8,1567
13,13,13,2017,9,1626
13,13,13,2017,10,2177
13,13,13,2017,11,1641
13,13,13,2017,12,1801
13,13,18,2016,1,5579
13,13,18,2016,2,5812
13,13,18,2016,3,5134
13,13,18,2016,4,4220
13,13,18,2016,5,4416
13,13,18,2016,6,5033
13,13,18,2016,7,4806
13,13,18,2016,8,4920
13,13,18,2016,9,5337
13,13,18,2016,10,5806
13,13,18,2016,11,5270
13,13,18,2016,12,6239
13,13,18,2017,1,5692
13,13,18,2017,2,6054
13,13,18,2017,3,4671
13,13,18,2017,4,3916
13,13,18,2017,5,3922
13,13,18,2017,6,3987
13,13,18,2017,7,3105
13,13,18,2017,8,3157
13,13,18,2017,9,3315
13,13,18,2017,10,3614
13,13,18,2017,11,3198
13,13,18,2017,12,3198
13,13,50,2016,1,6667
13,13,50,2016,2,8241
13,13,50,2016,3,6152
13,13,50,2016,4,5819
13,13,50,2016,5,6363
13,13,50,2016,6,5922
13,13,50,2016,7,5945
13,13,50,2016,8,6114
13,13,50,2016,9,6762
13,13,50,2016,10,7216
13,13,50,2016,11,6315
13,13,50,2016,12,6915
13,13,50,2017,1,7581
13,13,50,2017,2,7874
13,13,50,2017,3,7350
13,13,50,2017,4,6922
13,13,50,2017,5,7958
13,13,50,2017,6,7109
13,13,50,2017,7,7932
13,13,50,2017,8,10139
13,13,50,2017,9,10631
13,13,50,2017,10,8244
13,13,50,2017,11,11606
13,13,50,2017,12,14514
13,13,53,2016,1,10085
13,13,53,2016,2,12213
13,13,53,2016,3,9539
13,13,53,2016,4,8842
13,13,53,2016,5,9464
13,13,53,2016,6,8292
13,13,53,2016,7,8951
13,13,53,2016,8,9186
13,13,53,2016,9,11027
13,13,53,2016,10,10565
13,13,53,2016,11,9234
13,13,53,2016,12,10316
13,13,53,2017,1,10219
13,13,53,2017,2,10827
13,13,53,2017,3,9617
13,13,53,2017,4,8559
13,13,53,2017,5,9481
13,13,53,2017,6,8937
13,13,53,2017,7,9736
13,13,53,2017,8,10648
13,13,53,2017,9,10354
13,13,53,2017,10,8198
13,13,53,2017,11,7563
13,13,53,2017,12,8002
13,13,25,2016,1,4025
13,13,25,2016,2,3732
13,13,25,2016,3,3023
13,13,25,2016,4,2748
13,13,25,2016,5,2658
13,13,25,2016,6,2316
13,13,25,2016,7,2818
13,13,25,2016,8,2904
13,13,25,2016,9,3433
13,13,25,2016,10,3426
13,13,25,2016,11,3020
13,13,25,2016,12,3246
13,13,25,2017,1,3137
13,13,25,2017,2,3085
13,13,25,2017,3,2590
13,13,25,2017,4,2768
13,13,25,2017,5,2773
13,13,25,2017,6,2811
13,13,25,2017,7,3103
13,13,25,2017,8,3213
13,13,25,2017,9,3142
13,13,25,2017,10,3052
13,13,25,2017,11,2422
13,13,25,2017,12,2423
13,13,24,2016,1,4054
13,13,24,2016,2,4239
13,13,24,2016,3,3396
13,13,24,2016,4,4198
13,13,24,2016,5,5119
13,13,24,2016,6,3929
13,13,24,2016,7,3745
13,13,24,2016,8,3671
13,13,24,2016,9,4043
13,13,24,2016,10,4132
13,13,24,2016,11,4244
13,13,24,2016,12,4503
13,13,24,2017,1,4290
13,13,24,2017,2,4518
13,13,24,2017,3,3346
13,13,24,2017,4,2836
13,13,24,2017,5,3258
13,13,24,2017,6,2978
13,13,24,2017,7,3346
13,13,24,2017,8,4164
13,13,24,2017,9,4550
13,13,24,2017,10,3582
13,13,24,2017,11,3435
13,13,24,2017,12,4371
13,13,10,2016,1,1890
13,13,10,2016,2,2642
13,13,10,2016,3,1929
13,13,10,2016,4,1867
13,13,10,2016,5,1872
13,13,10,2016,6,1855
13,13,10,2016,7,1802
13,13,10,2016,8,1658
13,13,10,2016,9,1819
13,13,10,2016,10,2021
13,13,10,2016,11,1740
13,13,10,2016,12,1924
13,13,10,2017,1,2144
13,13,10,2017,2,2440
13,13,10,2017,3,1413
13,13,10,2017,4,1217
13,13,10,2017,5,1495
13,13,10,2017,6,1556
13,13,10,2017,7,1592
13,13,10,2017,8,1703
13,13,10,2017,9,1595
13,13,10,2017,10,1493
13,13,10,2017,11,2025
13,13,10,2017,12,1981
13,13,42,2016,1,4000
13,13,42,2016,2,4578
13,13,42,2016,3,3585
13,13,42,2016,4,3707
13,13,42,2016,5,3951
13,13,42,2016,6,3797
13,13,42,2016,7,3822
13,13,42,2016,8,4107
13,13,42,2016,9,4632
13,13,42,2016,10,4799
13,13,42,2016,11,4418
13,13,42,2016,12,4496
13,13,42,2017,1,4657
13,13,42,2017,2,4875
13,13,42,2017,3,4899
13,13,42,2017,4,4451
13,13,42,2017,5,5355
13,13,42,2017,6,4308
13,13,42,2017,7,5078
13,13,42,2017,8,7396
13,13,42,2017,9,7865
13,13,42,2017,10,5128
13,13,42,2017,11,4771
13,13,42,2017,12,4554
13,13,43,2016,1,1713
13,13,43,2016,2,2042
13,13,43,2016,3,1692
13,13,43,2016,4,1502
13,13,43,2016,5,1516
13,13,43,2016,6,1362
13,13,43,2016,7,1518
13,13,43,2016,8,1650
13,13,43,2016,9,1931
13,13,43,2016,10,2378
13,13,43,2016,11,2515
13,13,43,2016,12,2402
13,13,43,2017,1,2460
13,13,43,2017,2,2412
13,13,43,2017,3,2815
13,13,43,2017,4,2457
13,13,43,2017,5,2633
13,13,43,2017,6,2492
13,13,43,2017,7,2752
13,13,43,2017,8,3666
13,13,43,2017,9,4173
13,13,43,2017,10,3340
13,13,43,2017,11,2585
13,13,43,2017,12,2439
13,13,29,2016,1,693
13,13,29,2016,2,953
13,13,29,2016,3,856
13,13,29,2016,4,764
13,13,29,2016,5,937
13,13,29,2016,6,719
13,13,29,2016,7,649
13,13,29,2016,8,640
13,13,29,2016,9,674
13,13,29,2016,10,657
13,13,29,2016,11,605
13,13,29,2016,12,631
13,13,29,2017,1,711
13,13,29,2017,2,706
13,13,29,2017,3,650
13,13,29,2017,4,626
13,13,29,2017,5,662
13,13,29,2017,6,656
13,13,29,2017,7,667
13,13,29,2017,8,697
13,13,29,2017,9,677
13,13,29,2017,10,1057
13,13,29,2017,11,1495
13,13,29,2017,12,1229
13,13,41,2016,1,6058
13,13,41,2016,2,6246
13,13,41,2016,3,5889
13,13,41,2016,4,5397
13,13,41,2016,5,6276
13,13,41,2016,6,4964
13,13,41,2016,7,5225
13,13,41,2016,8,5429
13,13,41,2016,9,5890
13,13,41,2016,10,6187
13,13,41,2016,11,6269
13,13,41,2016,12,6225
13,13,41,2017,1,5980
13,13,41,2017,2,6592
13,13,41,2017,3,6812
13,13,41,2017,4,6918
13,13,41,2017,5,8957
13,13,41,2017,6,7109
13,13,41,2017,7,7140
13,13,41,2017,8,8439
13,13,41,2017,9,8801
13,13,41,2017,10,6499
13,13,41,2017,11,4977
13,13,41,2017,12,4952
13,13,1,2016,1,1367
13,13,1,2016,2,1888
13,13,1,2016,3,1519
13,13,1,2016,4,1071
13,13,1,2016,5,967
13,13,1,2016,6,928
13,13,1,2016,7,1135
13,13,1,2016,8,4579
13,13,1,2016,9,3414
13,13,1,2016,10,3829
13,13,1,2016,11,3309
13,13,1,2016,12,3162
13,13,1,2017,1,2493
13,13,1,2017,2,1096
13,13,1,2017,3,1265
13,13,1,2017,4,1076
13,13,1,2017,5,1112
13,13,1,2017,6,1102
13,13,1,2017,7,1099
13,13,1,2017,8,980
13,13,1,2017,9,970
13,13,1,2017,10,1265
13,13,1,2017,11,1200
13,13,1,2017,12,982
8,16,6,2016,1,14106
8,16,6,2016,2,14535
8,16,6,2016,3,17264
8,16,6,2016,4,13435
8,16,6,2016,5,16928
8,16,6,2016,6,15885
8,16,6,2016,7,15784
8,16,6,2016,8,16997
8,16,6,2016,9,18607
8,16,6,2016,10,20775
8,16,6,2016,11,17820
8,16,6,2016,12,18532
8,16,6,2017,1,15403
8,16,6,2017,2,24014
8,16,6,2017,3,17261
8,16,6,2017,4,10433
8,16,6,2017,5,10469
8,16,6,2017,6,12349
8,16,6,2017,7,11111
8,16,6,2017,8,10222
8,16,6,2017,9,9920
8,16,6,2017,10,8125
8,16,6,2017,11,6999
8,16,6,2017,12,6743
8,16,23,2016,1,3285
8,16,23,2016,2,3601
8,16,23,2016,3,4199
8,16,23,2016,4,4159
8,16,23,2016,5,5359
8,16,23,2016,6,5482
8,16,23,2016,7,6061
8,16,23,2016,8,6728
8,16,23,2016,9,7816
8,16,23,2016,10,8525
8,16,23,2016,11,7346
8,16,23,2016,12,7497
8,16,23,2017,1,6952
8,16,23,2017,2,9473
8,16,23,2017,3,6832
8,16,23,2017,4,5762
8,16,23,2017,5,6265
8,16,23,2017,6,6141
8,16,23,2017,7,5767
8,16,23,2017,8,5528
8,16,23,2017,9,5512
8,16,23,2017,10,6635
8,16,23,2017,11,6291
8,16,23,2017,12,6051
8,16,21,2016,1,11720
8,16,21,2016,2,14254
8,16,21,2016,3,17020
8,16,21,2016,4,14636
8,16,21,2016,5,14033
8,16,21,2016,6,13356
8,16,21,2016,7,15712
8,16,21,2016,8,15762
8,16,21,2016,9,17838
8,16,21,2016,10,18916
8,16,21,2016,11,14484
8,16,21,2016,12,13639
8,16,21,2017,1,11477
8,16,21,2017,2,16343
8,16,21,2017,3,11764
8,16,21,2017,4,10406
8,16,21,2017,5,14162
8,16,21,2017,6,13686
8,16,21,2017,7,13015
8,16,21,2017,8,13052
8,16,21,2017,9,12980
8,16,21,2017,10,14461
8,16,21,2017,11,13450
8,16,21,2017,12,13295
8,16,3,2016,1,6792
8,16,3,2016,2,7480
8,16,3,2016,3,9237
8,16,3,2016,4,7854
8,16,3,2016,5,8233
8,16,3,2016,6,8242
8,16,3,2016,7,8787
8,16,3,2016,8,9358
8,16,3,2016,9,10525
8,16,3,2016,10,11319
8,16,3,2016,11,9627
8,16,3,2016,12,10342
8,16,3,2017,1,8602
8,16,3,2017,2,11787
8,16,3,2017,3,9912
8,16,3,2017,4,8991
8,16,3,2017,5,9853
8,16,3,2017,6,9957
8,16,3,2017,7,9550
8,16,3,2017,8,10688
8,16,3,2017,9,11522
8,16,3,2017,10,11638
8,16,3,2017,11,10094
8,16,3,2017,12,10116
8,16,9,2016,1,9568
8,16,9,2016,2,10967
8,16,9,2016,3,12527
8,16,9,2016,4,13395
8,16,9,2016,5,13862
8,16,9,2016,6,13340
8,16,9,2016,7,13523
8,16,9,2016,8,14879
8,16,9,2016,9,25156
8,16,9,2016,10,32141
8,16,9,2016,11,28356
8,16,9,2016,12,23395
8,16,9,2017,1,20969
8,16,9,2017,2,26823
8,16,9,2017,3,24641
8,16,9,2017,4,29355
8,16,9,2017,5,28992
8,16,9,2017,6,25751
8,16,9,2017,7,21680
8,16,9,2017,8,18179
8,16,9,2017,9,12385
8,16,9,2017,10,13446
8,16,9,2017,11,13556
8,16,9,2017,12,21737
8,16,45,2016,1,3021
8,16,45,2016,2,3201
8,16,45,2016,3,3432
8,16,45,2016,4,2439
8,16,45,2016,5,2259
8,16,45,2016,6,2258
8,16,45,2016,7,2395
8,16,45,2016,8,2582
8,16,45,2016,9,2932
8,16,45,2016,10,2847
8,16,45,2016,11,2442
8,16,45,2016,12,2485
8,16,45,2017,1,2130
8,16,45,2017,2,2715
8,16,45,2017,3,2017
8,16,45,2017,4,1664
8,16,45,2017,5,1660
8,16,45,2017,6,1620
8,16,45,2017,7,1483
8,16,45,2017,8,1617
8,16,45,2017,9,1482
8,16,45,2017,10,1340
8,16,45,2017,11,1197
8,16,45,2017,12,1302
8,16,14,2016,1,9439
8,16,14,2016,2,10376
8,16,14,2016,3,11444
8,16,14,2016,4,9887
8,16,14,2016,5,10831
8,16,14,2016,6,10226
8,16,14,2016,7,10445
8,16,14,2016,8,11545
8,16,14,2016,9,14420
8,16,14,2016,10,14783
8,16,14,2016,11,11671
8,16,14,2016,12,12169
8,16,14,2017,1,10489
8,16,14,2017,2,15601
8,16,14,2017,3,11911
8,16,14,2017,4,10479
8,16,14,2017,5,10919
8,16,14,2017,6,10888
8,16,14,2017,7,10629
8,16,14,2017,8,11245
8,16,14,2017,9,12517
8,16,14,2017,10,13507
8,16,14,2017,11,12370
8,16,14,2017,12,12510
8,16,8,2016,1,1227
8,16,8,2016,2,1417
8,16,8,2016,3,1349
8,16,8,2016,4,1285
8,16,8,2016,5,1435
8,16,8,2016,6,1262
8,16,8,2016,7,1182
8,16,8,2016,8,1220
8,16,8,2016,9,1312
8,16,8,2016,10,1451
8,16,8,2016,11,1310
8,16,8,2016,12,1377
8,16,8,2017,1,1430
8,16,8,2017,2,2004
8,16,8,2017,3,1279
8,16,8,2017,4,1235
8,16,8,2017,5,1289
8,16,8,2017,6,1317
8,16,8,2017,7,1263
8,16,8,2017,8,1292
8,16,8,2017,9,1664
8,16,8,2017,10,1516
8,16,8,2017,11,1408
8,16,8,2017,12,2257
8,16,57,2016,1,6769
8,16,57,2016,2,7230
8,16,57,2016,3,7178
8,16,57,2016,4,5329
8,16,57,2016,5,5425
8,16,57,2016,6,4929
8,16,57,2016,7,5475
8,16,57,2016,8,6494
8,16,57,2016,9,7480
8,16,57,2016,10,7759
8,16,57,2016,11,6307
8,16,57,2016,12,5573
8,16,57,2017,1,4641
8,16,57,2017,2,6437
8,16,57,2017,3,3874
8,16,57,2017,4,2623
8,16,57,2017,5,2619
8,16,57,2017,6,2683
8,16,57,2017,7,2340
8,16,57,2017,8,2603
8,16,57,2017,9,3388
8,16,57,2017,10,2741
8,16,57,2017,11,3034
8,16,57,2017,12,2525
8,16,31,2016,1,3109
8,16,31,2016,2,3302
8,16,31,2016,3,3347
8,16,31,2016,4,2908
8,16,31,2016,5,3290
8,16,31,2016,6,3293
8,16,31,2016,7,3389
8,16,31,2016,8,3295
8,16,31,2016,9,4024
8,16,31,2016,10,4005
8,16,31,2016,11,3615
8,16,31,2016,12,3441
8,16,31,2017,1,3087
8,16,31,2017,2,4202
8,16,31,2017,3,3283
8,16,31,2017,4,2813
8,16,31,2017,5,3307
8,16,31,2017,6,3155
8,16,31,2017,7,2894
8,16,31,2017,8,2751
8,16,31,2017,9,2677
8,16,31,2017,10,2970
8,16,31,2017,11,3103
8,16,31,2017,12,2684
8,16,32,2016,1,1224
8,16,32,2016,2,1060
8,16,32,2016,3,1227
8,16,32,2016,4,1108
8,16,32,2016,5,904
8,16,32,2016,6,922
8,16,32,2016,7,803
8,16,32,2016,8,778
8,16,32,2016,9,1055
8,16,32,2016,10,949
8,16,32,2016,11,747
8,16,32,2016,12,802
8,16,32,2017,1,766
8,16,32,2017,2,1095
8,16,32,2017,3,798
8,16,32,2017,4,649
8,16,32,2017,5,916
