model,regYear,regMonth,carCommentVolum,newsReplyVolum
8,2017,5,279,1707
8,2017,6,176,994
8,2017,7,291,972
8,2017,8,317,206
8,2017,9,401,2894
8,2017,10,322,657
8,2017,11,280,199
8,2017,12,222,1543
9,2016,1,29,3278
9,2016,2,15,341
9,2016,3,24,5852
9,2016,4,37,4019
9,2016,5,54,3900
9,2016,6,126,6853
9,2016,7,200,4097
9,2016,8,168,4936
9,2016,9,110,2589
9,2016,10,77,4435
9,2016,11,142,4102
9,2016,12,231,1556
9,2017,1,159,2603
9,2017,2,247,2053
9,2017,3,289,1668
9,2017,4,221,4086
9,2017,5,251,2508
9,2017,6,255,1687
9,2017,7,218,4006
9,2017,8,461,3765
9,2017,9,482,2960
9,2017,10,428,3676
9,2017,11,252,1902
9,2017,12,212,3283
10,2016,1,59,698
10,2016,2,82,2257
10,2016,3,144,472
10,2016,4,167,1335
10,2016,5,214,796
10,2016,6,192,142
10,2016,7,156,111
10,2016,8,261,677
10,2016,9,246,18148
10,2016,10,248,2281
10,2016,11,248,2921
10,2016,12,447,596
10,2017,1,430,173
10,2017,2,643,4958
10,2017,3,527,1193
10,2017,4,419,2170
10,2017,5,741,4198
10,2017,6,923,8590
10,2017,7,865,938
10,2017,8,1084,265
10,2017,9,992,119
10,2017,10,867,706
10,2017,11,694,2593
10,2017,12,599,298
11,2016,1,83,5664
11,2016,2,69,147
11,2016,3,110,1533
11,2016,4,80,2958
11,2016,5,142,4568
11,2016,6,300,675
11,2016,7,169,72
11,2016,8,292,49
11,2016,9,477,1569
11,2016,10,112,55
11,2016,11,89,15
11,2016,12,114,24
11,2017,1,86,695
11,2017,2,59,30
11,2017,3,80,28
11,2017,4,54,219
11,2017,5,65,21
11,2017,6,71,25
11,2017,7,86,335
11,2017,8,197,289
11,2017,9,109,199
11,2017,10,127,293
11,2017,11,99,52
11,2017,12,90,255
12,2016,1,90,1900
12,2016,2,132,2093
12,2016,3,233,1716
12,2016,4,203,2721
12,2016,5,198,3021
12,2016,6,252,3803
12,2016,7,251,3733
12,2016,8,277,3573
12,2016,9,199,2940
12,2016,10,181,2967
12,2016,11,252,7589
12,2016,12,113,3899
12,2017,1,126,972
12,2017,2,210,2593
12,2017,3,345,210
12,2017,4,215,98
12,2017,5,287,3567
12,2017,6,251,1471
12,2017,7,243,3128
12,2017,8,409,4264
12,2017,9,544,1014
12,2017,10,457,1948
12,2017,11,348,1392
12,2017,12,336,1834
13,2016,1,11,106
13,2016,2,6,2255
13,2016,3,13,861
13,2016,4,16,105
13,2016,5,28,2107
13,2016,6,30,2957
13,2016,7,37,13106
13,2016,8,74,1100
13,2016,9,221,882
13,2016,10,216,2543
13,2016,11,150,1228
13,2016,12,117,2113
13,2017,1,158,1737
13,2017,2,187,1562
13,2017,3,186,993
13,2017,4,148,2259
13,2017,5,194,1623
13,2017,6,175,788
13,2017,7,149,414
13,2017,8,328,654
13,2017,9,252,1283
13,2017,10,214,292
13,2017,11,148,3142
13,2017,12,129,272
14,2016,1,43,3996
14,2016,2,31,2668
14,2016,3,35,1652
14,2016,4,55,5836
14,2016,5,76,2333
14,2016,6,108,3230
14,2016,7,133,6191
14,2016,8,151,4003
14,2016,9,198,4708
14,2016,10,187,5718
14,2016,11,404,2511
14,2016,12,613,3801
14,2017,1,513,3578
14,2017,2,714,3722
14,2017,3,614,2171
14,2017,4,596,6456
14,2017,5,801,1930
14,2017,6,1157,2628
14,2017,7,851,3419
14,2017,8,1284,3641
14,2017,9,1113,2587
14,2017,10,1070,1858
14,2017,11,961,1597
14,2017,12,748,1920
15,2016,1,79,1763
15,2016,2,69,799
15,2016,3,110,2245
15,2016,4,119,2892
15,2016,5,166,767
15,2016,6,189,4896
15,2016,7,236,2023
15,2016,8,265,5675
15,2016,9,302,1394
15,2016,10,271,1018
15,2016,11,461,1027
15,2016,12,408,570
15,2017,1,410,1812
15,2017,2,432,416
15,2017,3,521,1485
15,2017,4,489,2628
15,2017,5,609,2803
15,2017,6,538,3971
15,2017,7,712,933
15,2017,8,922,228
15,2017,9,877,977
15,2017,10,848,702
15,2017,11,663,1574
15,2017,12,631,407
16,2016,1,324,3116
16,2016,2,307,868
16,2016,3,536,2640
16,2016,4,387,3192
16,2016,5,370,7637
16,2016,6,464,4314
16,2016,7,444,6210
16,2016,8,868,2731
16,2016,9,825,4489
16,2016,10,1286,3498
16,2016,11,1181,4226
16,2016,12,1101,2452
16,2017,1,630,2078
16,2017,2,772,1876
16,2017,3,956,4979
16,2017,4,736,1600
16,2017,5,823,1503
16,2017,6,705,2413
16,2017,7,725,4807
16,2017,8,1513,2341
16,2017,9,2232,974
16,2017,10,1470,2649
16,2017,11,1878,1440
16,2017,12,1172,4749
17,2016,1,30,4
17,2016,2,54,4
17,2016,3,76,303
17,2016,4,39,22
17,2016,5,52,20
17,2016,6,48,492
17,2016,7,65,11
17,2016,8,186,11
17,2016,9,83,487
17,2016,10,205,36
17,2016,11,226,24
17,2016,12,51,5
17,2017,1,38,22
17,2017,2,40,16
17,2017,3,26,10
17,2017,4,32,3
17,2017,5,35,1
17,2017,6,34,3
17,2017,7,26,2
17,2017,8,17,2
17,2017,9,39,5
17,2017,10,32,1
17,2017,11,39,2896
17,2017,12,19,682
18,2016,1,24,473
18,2016,2,10,70
18,2016,3,17,74
18,2016,4,22,3595
18,2016,5,24,8159
18,2016,6,51,491
18,2016,7,33,3212
18,2016,8,46,250
18,2016,9,80,1317
18,2016,10,69,2264
18,2016,11,44,2802
18,2016,12,132,890
18,2017,1,77,438
18,2017,2,90,4988
18,2017,3,127,2566
18,2017,4,134,1463
18,2017,5,217,1923
18,2017,6,192,469
18,2017,7,159,642
18,2017,8,267,1314
18,2017,9,223,1024
18,2017,10,224,2271
18,2017,11,199,2541
18,2017,12,344,1814
19,2016,1,35,283
19,2016,2,20,40
19,2016,3,41,168
19,2016,4,24,742
19,2016,5,37,78
19,2016,6,61,27
19,2016,7,89,766
19,2016,8,42,40
19,2016,9,61,2288
19,2016,10,62,1707
19,2016,11,47,1174
19,2016,12,38,23
19,2017,1,36,26
19,2017,2,30,28
19,2017,3,19,32
19,2017,4,56,8
19,2017,5,35,392
19,2017,6,28,403
19,2017,7,21,783
19,2017,8,33,4616
19,2017,9,57,440
19,2017,10,61,30
19,2017,11,66,131
19,2017,12,53,17
20,2016,1,72,10
20,2016,2,87,8
20,2016,3,77,3
20,2016,4,129,4
20,2016,5,101,11
20,2016,6,154,0
20,2016,7,171,0
20,2016,8,248,0
20,2016,9,235,748
20,2016,10,77,1672
20,2016,11,221,1155
20,2016,12,135,124
20,2017,1,90,707
20,2017,2,76,21
20,2017,3,88,478
20,2017,4,97,1224
20,2017,5,292,87
20,2017,6,199,69
20,2017,7,147,58
20,2017,8,194,22
20,2017,9,140,2
20,2017,10,104,5
20,2017,11,58,701
20,2017,12,62,875
21,2016,1,12,3219
21,2016,2,7,3888
21,2016,3,32,7684
21,2016,4,43,4471
21,2016,5,68,2413
21,2016,6,86,7946
21,2016,7,76,4380
21,2016,8,121,9133
21,2016,9,133,5786
21,2016,10,139,7151
21,2016,11,163,8885
21,2016,12,165,3283
21,2017,1,136,3337
21,2017,2,215,9839
21,2017,3,277,4686
21,2017,4,273,14073
21,2017,5,809,3040
21,2017,6,842,3429
21,2017,7,827,4849
21,2017,8,891,5774
21,2017,9,1014,2317
21,2017,10,796,8807
21,2017,11,677,15562
21,2017,12,647,4899
22,2016,1,72,3255
22,2016,2,78,2493
22,2016,3,146,1917
22,2016,4,90,1103
22,2016,5,82,2737
22,2016,6,103,1792
22,2016,7,135,2411
22,2016,8,242,1502
22,2016,9,206,1256
22,2016,10,249,70
22,2016,11,207,961
22,2016,12,119,2767
22,2017,1,286,1932
22,2017,2,289,550
22,2017,3,224,3250
22,2017,4,208,3120
22,2017,5,455,2049
22,2017,6,228,386
22,2017,7,250,1865
22,2017,8,548,1679
22,2017,9,551,1498
22,2017,10,631,270
22,2017,11,291,2571
22,2017,12,184,222
23,2016,1,11,3702
23,2016,2,17,4739
23,2016,3,38,2704
23,2016,4,39,1732
23,2016,5,80,4434
23,2016,6,61,1069
23,2016,7,107,3426
23,2016,8,88,2419
23,2016,9,98,2103
23,2016,10,94,2615
23,2016,11,111,2333
23,2016,12,132,2231
23,2017,1,87,2598
23,2017,2,112,4229
23,2017,3,225,1847
23,2017,4,137,1492
23,2017,5,224,1473
23,2017,6,232,1333
23,2017,7,230,3040
23,2017,8,432,3569
23,2017,9,466,3773
23,2017,10,337,1928
23,2017,11,333,1743
23,2017,12,355,4014
24,2016,1,92,2372
24,2016,2,86,4351
24,2016,3,165,1688
24,2016,4,204,946
24,2016,5,276,2316
24,2016,6,316,1501
24,2016,7,265,1446
24,2016,8,306,4380
24,2016,9,483,10808
24,2016,10,477,4152
24,2016,11,600,2292
24,2016,12,881,4157
24,2017,1,824,186
24,2017,2,1078,3703
24,2017,3,1624,681
24,2017,4,1224,653
24,2017,5,1662,2310
24,2017,6,1711,195
24,2017,7,1747,5046
24,2017,8,2361,4172
24,2017,9,2779,6639
24,2017,10,2834,527
24,2017,11,2556,146
24,2017,12,2191,715
25,2016,1,12,54
25,2016,2,11,53
25,2016,3,13,23
25,2016,4,33,258
25,2016,5,55,748
25,2016,6,55,43
25,2016,7,53,24
25,2016,8,53,369
25,2016,9,92,55
25,2016,10,87,13
25,2016,11,80,18
25,2016,12,170,2681
25,2017,1,160,1413
25,2017,2,233,1522
25,2017,3,257,173
25,2017,4,157,7515
25,2017,5,173,5946
25,2017,6,225,10360
25,2017,7,221,11764
25,2017,8,480,3125
25,2017,9,542,4276
25,2017,10,553,3051
25,2017,11,451,1710
25,2017,12,332,3924
26,2016,1,96,1699
26,2016,2,58,155
26,2016,3,495,1972
26,2016,4,390,116
26,2016,5,440,42
26,2016,6,367,24
26,2016,7,265,17
26,2016,8,401,19
26,2016,9,315,765
26,2016,10,274,1697
26,2016,11,357,3025
26,2016,12,418,58
26,2017,1,261,39
26,2017,2,253,28
26,2017,3,376,37
26,2017,4,279,11
26,2017,5,283,681
26,2017,6,174,1559
26,2017,7,224,1717
26,2017,8,278,251
26,2017,9,385,3547
26,2017,10,386,3992
26,2017,11,595,2078
26,2017,12,528,173
27,2016,1,95,3476
27,2016,2,84,2045
27,2016,3,120,3704
27,2016,4,119,2272
27,2016,5,146,2709
27,2016,6,119,2707
27,2016,7,202,6137
27,2016,8,419,6939
27,2016,9,167,1994
27,2016,10,167,1262
27,2016,11,186,986
27,2016,12,235,1863
27,2017,1,176,5664
27,2017,2,366,3309
27,2017,3,587,1947
27,2017,4,255,3021
27,2017,5,319,1510
27,2017,6,258,2768
27,2017,7,148,4037
27,2017,8,253,1513
27,2017,9,224,960
27,2017,10,166,2150
27,2017,11,106,4080
27,2017,12,146,2297
28,2016,1,322,689
28,2016,2,275,335
28,2016,3,370,3425
28,2016,4,385,766
28,2016,5,412,1588
28,2016,6,446,692
28,2016,7,515,1326
28,2016,8,963,2836
28,2016,9,399,373
28,2016,10,286,119
28,2016,11,389,1877
28,2016,12,767,1644
28,2017,1,276,621
28,2017,2,552,894
28,2017,3,982,1518
28,2017,4,317,843
28,2017,5,704,2957
28,2017,6,333,1679
28,2017,7,411,2063
28,2017,8,1038,2372
28,2017,9,1205,2564
28,2017,10,670,3841
28,2017,11,530,3789
28,2017,12,560,65
29,2016,1,6,2791
29,2016,2,4,1884
29,2016,3,5,343
29,2016,4,9,172
29,2016,5,13,149
29,2016,6,12,45
29,2016,7,17,1142
29,2016,8,15,50
29,2016,9,19,30
29,2016,10,24,1959
29,2016,11,10,1935
29,2016,12,46,397
29,2017,1,24,51
29,2017,2,22,610
29,2017,3,64,579
29,2017,4,29,72
29,2017,5,40,2246
29,2017,6,31,208
29,2017,7,53,64
29,2017,8,63,77
29,2017,9,59,1584
29,2017,10,53,44
29,2017,11,46,202
29,2017,12,40,46
30,2016,1,270,3705
30,2016,2,249,2995
30,2016,3,410,3602
30,2016,4,819,1991
30,2016,5,960,3109
30,2016,6,680,2294
30,2016,7,1240,2638
30,2016,8,1199,2128
30,2016,9,614,2021
30,2016,10,698,1317
30,2016,11,715,1892
30,2016,12,408,2320
30,2017,1,389,1197
30,2017,2,590,3974
30,2017,3,1050,1939
30,2017,4,795,1497
30,2017,5,1056,2867
30,2017,6,1181,2898
30,2017,7,1173,5184
30,2017,8,2144,5791
30,2017,9,1643,2807
30,2017,10,1127,4467
30,2017,11,1161,3581
30,2017,12,946,2259
31,2016,1,3,4429
31,2016,2,7,898
31,2016,3,10,304
31,2016,4,21,1541
31,2016,5,20,1071
31,2016,6,29,85
31,2016,7,60,2402
31,2016,8,81,7448
31,2016,9,193,7141
31,2016,10,141,3479
31,2016,11,143,2179
31,2016,12,154,2116
31,2017,1,113,2752
31,2017,2,142,2770
31,2017,3,151,1844
31,2017,4,138,1719
31,2017,5,146,1489
31,2017,6,151,2041
31,2017,7,266,1609
31,2017,8,263,116
31,2017,9,249,37
31,2017,10,169,1257
31,2017,11,126,125
31,2017,12,98,1274
32,2016,1,7,67
32,2016,2,7,2272
32,2016,3,19,1836
32,2016,4,20,1665
32,2016,5,44,4305
32,2016,6,50,2324
32,2016,7,37,3436
32,2016,8,52,1613
32,2016,9,61,1948
32,2016,10,75,5568
32,2016,11,96,1316
32,2016,12,89,1970
32,2017,1,73,811
32,2017,2,103,1296
32,2017,3,131,4089
32,2017,4,120,7945
32,2017,5,135,5357
32,2017,6,131,4565
32,2017,7,586,13548
32,2017,8,1355,5520
32,2017,9,1838,4167
32,2017,10,1643,7162
32,2017,11,895,3050
32,2017,12,725,1363
33,2016,1,16,4095
33,2016,2,8,5169
33,2016,3,39,9449
33,2016,4,115,3007
33,2016,5,241,298
33,2016,6,180,171
33,2016,7,244,3917
33,2016,8,267,2930
33,2016,9,307,5200
33,2016,10,252,2179
33,2016,11,249,721
33,2016,12,286,3864
33,2017,1,238,711
33,2017,2,393,3405
33,2017,3,339,1493
33,2017,4,335,1324
33,2017,5,349,2357
33,2017,6,277,1134
33,2017,7,621,1601
33,2017,8,640,2697
33,2017,9,644,480
33,2017,10,575,1454
33,2017,11,302,483
33,2017,12,304,2425
34,2016,1,51,2613
34,2016,2,39,846
34,2016,3,58,718
34,2016,4,51,539
34,2016,5,54,588
34,2016,6,51,71
34,2016,7,53,58
34,2016,8,162,56
34,2016,9,47,51
34,2016,10,45,47
34,2016,11,33,36
34,2016,12,103,9
34,2017,1,41,29
34,2017,2,29,4140
34,2017,3,57,3510
34,2017,4,46,315
34,2017,5,21,25
34,2017,6,11,2056
34,2017,7,18,2071
34,2017,8,23,5435
34,2017,9,30,3508
34,2017,10,166,1896
34,2017,11,115,90
34,2017,12,87,14
35,2016,1,134,2148
35,2016,2,158,2013
35,2016,3,227,330
35,2016,4,199,656
35,2016,5,175,2384
35,2016,6,256,159
35,2016,7,141,481
35,2016,8,105,3805
35,2016,9,93,1471
35,2016,10,81,2749
35,2016,11,87,1239
35,2016,12,221,920
35,2017,1,162,184
35,2017,2,267,895
35,2017,3,210,787
35,2017,4,100,147
35,2017,5,117,139
35,2017,6,97,1197
35,2017,7,106,648
35,2017,8,216,598
35,2017,9,258,108
35,2017,10,256,717
35,2017,11,120,4145
35,2017,12,177,877
36,2016,1,219,117
36,2016,2,223,2640
36,2016,3,254,227
36,2016,4,256,331
36,2016,5,246,110
36,2016,6,295,396
36,2016,7,349,2144
36,2016,8,197,344
36,2016,9,244,57
36,2016,10,171,1105
36,2016,11,251,1640
36,2016,12,274,298
36,2017,1,121,831
36,2017,2,256,5702
36,2017,3,362,4887
36,2017,4,299,4267
36,2017,5,392,1673
36,2017,6,443,150
36,2017,7,601,36
36,2017,8,807,2240
36,2017,9,989,116
36,2017,10,663,83
36,2017,11,479,2280
36,2017,12,441,265
37,2016,1,184,104
37,2016,2,103,1380
37,2016,3,195,146
37,2016,4,141,681
37,2016,5,138,41
37,2016,6,114,199
37,2016,7,134,31
37,2016,8,137,24
37,2016,9,138,575
37,2016,10,139,1478
37,2016,11,113,353
37,2016,12,156,219
37,2017,1,111,53
37,2017,2,104,4142
37,2017,3,81,3860
37,2017,4,105,322
37,2017,5,112,41
37,2017,6,117,643
37,2017,7,76,234
37,2017,8,187,256
37,2017,9,136,141
37,2017,10,138,36
37,2017,11,68,786
37,2017,12,127,205
38,2016,1,108,1923
38,2016,2,126,1169
38,2016,3,117,455
38,2016,4,111,145
38,2016,5,163,99
38,2016,6,224,523
38,2016,7,329,1849
38,2016,8,153,345
38,2016,9,124,306
38,2016,10,114,954
38,2016,11,80,201
38,2016,12,82,954
38,2017,1,245,4059
38,2017,2,246,1057
38,2017,3,325,519
38,2017,4,161,1414
38,2017,5,113,2551
38,2017,6,228,1414
38,2017,7,139,1158
38,2017,8,252,2826
38,2017,9,349,8771
38,2017,10,922,2619
38,2017,11,439,2695
38,2017,12,339,377
39,2016,1,152,3963
39,2016,2,147,1120
39,2016,3,225,2553
39,2016,4,219,3424
39,2016,5,169,2964
39,2016,6,321,1411
39,2016,7,128,5542
39,2016,8,342,3122
39,2016,9,395,4146
39,2016,10,453,2752
39,2016,11,289,5804
39,2016,12,233,4842
39,2017,1,230,5142
39,2017,2,245,6204
39,2017,3,486,3603
39,2017,4,419,1533
39,2017,5,371,1906
39,2017,6,207,8820
39,2017,7,328,12935
39,2017,8,435,2334
39,2017,9,491,4308
39,2017,10,432,4623
39,2017,11,461,10056
39,2017,12,453,2087
40,2016,1,70,1177
40,2016,2,83,1591
40,2016,3,137,3885
40,2016,4,130,1984
40,2016,5,170,2388
40,2016,6,112,1826
40,2016,7,115,6593
40,2016,8,145,6371
40,2016,9,153,4558
40,2016,10,135,4170
40,2016,11,308,5219
40,2016,12,214,14416
40,2017,1,325,12246
40,2017,2,868,7564
40,2017,3,1085,9965
40,2017,4,1374,3909
40,2017,5,1122,1641
40,2017,6,893,9991
40,2017,7,773,10849
40,2017,8,1159,6051
40,2017,9,839,736
40,2017,10,909,4008
40,2017,11,761,3168
40,2017,12,459,3624
41,2016,1,10,10
41,2016,2,6,15
41,2016,3,11,15
41,2016,4,18,1007
41,2016,5,29,96
41,2016,6,43,28
41,2016,7,27,393
41,2016,8,42,1204
41,2016,9,72,861
41,2016,10,40,2167
41,2016,11,66,4104
41,2016,12,76,125
41,2017,1,55,1639
41,2017,2,115,1562
41,2017,3,132,1808
41,2017,4,157,4281
41,2017,5,251,1681
41,2017,6,226,700
41,2017,7,255,192
41,2017,8,428,101
41,2017,9,363,4095
41,2017,10,354,921
41,2017,11,221,103
41,2017,12,201,34
42,2016,1,4,920
42,2016,2,6,111
42,2016,3,14,138
42,2016,4,7,5288
42,2016,5,12,424
42,2016,6,28,1904
42,2016,7,21,445
42,2016,8,21,2392
42,2016,9,15,876
42,2016,10,22,1780
42,2016,11,18,3391
42,2016,12,16,111
42,2017,1,39,978
42,2017,2,49,84
42,2017,3,28,68
42,2017,4,40,1552
42,2017,5,35,60
42,2017,6,37,35
42,2017,7,63,98
42,2017,8,95,172
42,2017,9,99,28
42,2017,10,102,22
42,2017,11,54,559
42,2017,12,46,612
43,2016,1,2,1508
43,2016,2,9,884
43,2016,3,2,301
43,2016,4,2,161
43,2016,5,10,4181
43,2016,6,9,1395
43,2016,7,6,2828
43,2016,8,11,3153
43,2016,9,23,2301
43,2016,10,16,9045
43,2016,11,17,5952
43,2016,12,16,4493
43,2017,1,15,2898
43,2017,2,21,4580
43,2017,3,29,2581
43,2017,4,35,1962
43,2017,5,46,2434
43,2017,6,46,2617
43,2017,7,32,4378
43,2017,8,45,1806
43,2017,9,50,2025
43,2017,10,50,3702
43,2017,11,50,1077
43,2017,12,36,1105
44,2016,1,95,719
44,2016,2,92,1704
44,2016,3,133,1603
44,2016,4,122,1708
44,2016,5,135,131
44,2016,6,142,1695
44,2016,7,170,2504
44,2016,8,300,57
44,2016,9,169,1575
44,2016,10,358,2104
44,2016,11,225,57
44,2016,12,206,1446
44,2017,1,60,1600
44,2017,2,90,997
44,2017,3,97,2690
44,2017,4,74,88
44,2017,5,60,45
44,2017,6,185,45
44,2017,7,223,25
44,2017,8,328,98
44,2017,9,280,599
44,2017,10,240,1895
44,2017,11,177,754
44,2017,12,118,156
45,2016,1,25,3681
45,2016,2,22,142
45,2016,3,44,1532
45,2016,4,35,433
45,2016,5,56,2306
45,2016,6,84,3149
45,2016,7,94,12828
45,2016,8,193,4948
45,2016,9,135,1628
45,2016,10,135,1789
45,2016,11,139,4309
45,2016,12,159,1497
45,2017,1,118,2278
45,2017,2,174,746
45,2017,3,180,711
45,2017,4,191,70
45,2017,5,183,706
45,2017,6,227,519
45,2017,7,248,53
45,2017,8,389,31
45,2017,9,491,2058
45,2017,10,410,899
45,2017,11,363,1946
45,2017,12,315,953
46,2016,1,92,329
46,2016,2,127,2756
46,2016,3,194,431
46,2016,4,177,137
46,2016,5,184,2513
46,2016,6,460,1385
46,2016,7,429,3102
46,2016,8,197,1483
46,2016,9,498,1272
46,2016,10,164,3157
46,2016,11,143,1251
46,2016,12,294,528
46,2017,1,114,677
46,2017,2,268,5981
46,2017,3,503,4726
46,2017,4,175,1086
46,2017,5,224,3152
46,2017,6,203,1655
46,2017,7,315,1856
46,2017,8,788,1741
46,2017,9,497,794
46,2017,10,344,90
46,2017,11,155,62
46,2017,12,157,960
47,2016,1,11,852
47,2016,2,10,2211
47,2016,3,11,3404
47,2016,4,26,9923
47,2016,5,38,2524
47,2016,6,49,9540
47,2016,7,69,12223
47,2016,8,306,7255
47,2016,9,352,428
47,2016,10,307,3873
47,2016,11,293,957
47,2016,12,335,1023
47,2017,1,368,2480
47,2017,2,459,2694
47,2017,3,518,958
47,2017,4,446,2138
47,2017,5,422,5125
47,2017,6,442,2162
47,2017,7,434,2920
47,2017,8,660,2885
47,2017,9,599,4251
47,2017,10,632,1528
47,2017,11,513,878
47,2017,12,349,2317
48,2016,1,110,1005
48,2016,2,85,658
48,2016,3,143,1653
48,2016,4,140,534
48,2016,5,124,107
48,2016,6,112,172
48,2016,7,263,4764
48,2016,8,339,3060
48,2016,9,313,982
48,2016,10,212,3136
48,2016,11,311,1383
48,2016,12,230,2939
48,2017,1,131,304
48,2017,2,150,175
48,2017,3,158,1445
48,2017,4,144,3550
48,2017,5,135,2625
48,2017,6,235,485
48,2017,7,169,623
48,2017,8,295,6613
48,2017,9,226,1315
48,2017,10,233,3356
48,2017,11,175,8610
48,2017,12,179,1309
49,2016,1,17,2313
49,2016,2,14,1662
49,2016,3,17,1380
49,2016,4,24,2725
49,2016,5,52,3392
49,2016,6,61,1344
49,2016,7,59,1190
49,2016,8,77,86
49,2016,9,103,3466
49,2016,10,168,6349
49,2016,11,513,2602
49,2016,12,471,3405
49,2017,1,220,2523
49,2017,2,259,4868
49,2017,3,236,2646
49,2017,4,248,711
49,2017,5,254,1744
49,2017,6,214,2114
49,2017,7,198,2011
49,2017,8,415,1409
49,2017,9,408,1610
49,2017,10,297,3631
49,2017,11,257,1094
