province,adcode,model,bodyType,salesVolume1,popularity1,salesVolume2,popularity2,salesVolume3,popularity3,salesVolume4,popularity4,salesVolume5,popularity5,salesVolume6,popularity6,salesVolume7,popularity7,salesVolume8,popularity8,salesVolume9,popularity9,salesVolume10,popularity10,salesVolume11,popularity11,salesVolume12,popularity12,pred
13,13,3,3,1652,1677,766,1892,966,1634,1035,1468,851,1424,918,1318,1151,1344,1553,1422,1783,1652,1739,1924,1951,1935,3130,2451,1278
15,14,3,3,786,1052,283,1279,464,1182,568,1091,585,1012,851,1005,689,1010,870,1048,1071,1231,1120,1460,1425,1280,1562,1447,736
16,15,3,3,1956,1127,826,1331,1099,1274,1123,1225,1343,1251,1265,1186,1384,1212,1668,1179,1721,1368,1444,1414,1769,1347,3168,1634,1244
8,16,3,3,9433,6792,2322,7480,6681,9237,6500,7854,8617,8233,8587,8242,8085,8787,9999,9358,11167,10525,12710,11319,12394,9627,15317,10342,5306
9,17,3,3,1169,1039,509,1077,777,1053,650,981,933,1004,1046,964,1010,1054,1186,1085,1639,1378,1709,1448,1789,1280,2693,1458,1195
19,18,3,3,216,366,134,411,130,461,208,432,307,494,592,511,510,571,660,561,624,621,494,599,548,481,828,630,333
4,19,3,3,1085,1453,517,1742,383,1681,511,1547,577,1630,808,1607,786,1678,904,1815,1230,2189,923,2377,1016,2147,1536,2482,609
1,20,3,3,276,244,106,246,125,267,149,235,202,255,186,263,247,263,218,271,226,326,257,362,285,327,393,393,160
20,21,3,3,354,346,91,351,148,452,246,526,335,510,408,502,480,553,451,477,462,515,457,633,402,529,722,723,289
3,0,4,3,595,1730,219,1524,346,1752,342,1404,374,15569,346,2409,429,2143,397,2094,451,2214,276,2512,389,2359,488,2218,143
12,1,4,3,1190,2918,526,2599,697,2458,668,2093,745,4571,713,2259,769,2110,1026,2430,1153,2626,782,2783,978,2600,1229,2939,546
7,2,4,3,439,1044,139,905,326,977,295,763,376,1683,259,929,310,872,346,940,391,955,347,1037,352,983,464,1022,131
2,3,4,3,836,1278,289,960,446,1023,450,832,527,1377,415,906,569,827,575,909,712,1142,648,1311,698,1305,789,1350,413
18,4,4,3,215,707,103,592,162,659,132,562,162,3959,151,809,156,630,254,667,246,635,156,647,195,632,210,633,53
21,5,4,3,237,756,157,736,262,826,257,653,265,1453,200,805,199,672,236,734,256,819,202,1014,210,994,228,879,66
0,6,4,3,1329,2026,432,2013,848,2253,740,1696,785,5470,835,2109,1350,2000,1065,2091,2065,2170,1032,2215,1283,1923,1483,2003,389
10,7,4,3,2487,3785,1375,3556,2036,3878,1589,3228,1718,19126,1504,3747,1598,3206,2024,3413,2099,3617,1880,4431,1868,3698,2181,3388,991
14,8,4,3,1069,2158,476,1873,727,2280,703,1716,696,16544,655,2173,723,1722,773,1846,920,2152,884,2468,1063,2159,1213,2079,348
5,9,4,3,676,1052,322,1133,351,1054,363,809,414,12929,357,1236,477,1015,644,1087,726,1127,594,1502,615,1183,705,1071,385
17,10,4,3,545,731,170,677,319,833,281,653,308,4380,207,989,297,759,275,846,314,903,302,1152,385,858,408,799,188
11,11,4,3,719,674,227,629,332,636,338,591,384,3748,268,700,290,565,349,625,532,771,430,842,438,717,495,652,251
6,12,4,3,2189,4110,844,3681,1400,3660,1356,3250,1271,8913,1075,3282,1292,3232,1454,3496,1777,3673,1435,3771,1352,3491,1707,3773,803
13,13,4,3,1052,2680,432,2463,507,2396,691,1908,656,8817,595,2312,849,2175,951,2297,954,2387,750,2685,835,2644,1053,2679,508
15,14,4,3,473,830,168,806,248,760,264,663,212,8970,303,989,273,766,340,807,406,844,336,1258,358,876,440,777,200
16,15,4,3,736,912,271,832,375,919,384,763,428,4131,388,1049,473,866,550,923,688,999,528,1059,670,1013,749,988,385
8,16,4,3,385,1714,70,1759,223,2070,205,1648,277,10768,296,2514,248,2078,286,2206,326,2380,342,2614,407,2311,475,2181,130
9,17,4,3,217,394,114,323,135,352,110,282,154,1338,153,423,106,365,135,346,181,396,167,452,158,366,231,366,93
19,18,4,3,212,382,110,368,142,387,161,351,182,1185,218,547,192,442,205,510,240,492,178,500,181,466,295,464,131
4,19,4,3,1109,2248,594,2175,746,2284,756,1989,677,9180,695,2623,682,2272,820,2517,1286,3147,786,3571,820,2796,1117,2728,531
1,20,4,3,412,702,240,600,292,674,229,542,244,1568,208,723,404,659,346,699,402,782,396,912,360,802,567,754,208
20,21,4,3,1380,1932,510,1634,777,1818,772,1918,950,3366,666,2076,1062,2194,1276,2133,1109,2119,958,2233,1012,1967,1286,2154,412
3,0,5,2,580,4157,162,3978,255,4115,224,3524,215,3627,203,3595,267,4130,229,4144,259,4719,158,4584,186,4347,277,4523,124
12,1,5,2,777,6481,302,6252,326,5203,300,4479,423,4540,331,3949,415,4544,474,4621,378,5421,372,4911,326,4482,383,5548,353
7,2,5,2,236,2512,48,2408,88,2168,53,1867,84,1807,72,1643,80,1821,105,1743,82,2068,89,1957,70,1800,67,1898,66
2,3,5,2,260,2218,111,1996,103,1778,103,1507,189,1452,132,1329,152,1503,130,1542,174,2000,176,1979,130,1980,141,1994,132
18,4,5,2,309,2820,139,2647,206,2653,190,2463,224,2336,186,2186,211,2303,236,2302,239,2552,216,2334,174,2148,238,2247,151
21,5,5,2,201,2134,65,2079,155,1910,112,1638,155,1624,119,1503,135,1673,185,1795,126,2023,121,1907,118,2070,156,2343,75
0,6,5,2,165,2120,39,2565,67,2337,57,1644,61,1498,83,1344,70,1441,93,1404,94,1781,69,1665,88,1206,96,1351,65
10,7,5,2,1022,6446,474,6611,501,6129,391,5057,511,4585,498,4018,540,4556,652,4667,534,6010,502,5452,474,4830,569,4771,538
14,8,5,2,1315,6740,474,6080,480,6834,439,5534,481,5039,523,4501,527,4709,619,4886,525,6712,437,6321,429,5441,453,5469,388
5,9,5,2,964,3527,370,4098,259,2947,261,2333,334,2278,403,2216,369,2388,409,2423,407,2876,332,2911,341,2446,384,2664,513
17,10,5,2,349,1742,89,1884,110,1991,105,1656,117,1406,97,1259,156,1509,140,1755,150,2340,148,2242,127,1980,159,1932,136
11,11,5,2,675,1917,234,2281,206,1616,222,1514,322,1423,296,1284,334,1344,361,1415,423,1849,281,1701,274,1537,309,1611,360
6,12,5,2,963,6908,329,6723,460,5813,477,5081,501,5045,534,4466,578,5129,578,5254,669,6063,572,5467,480,4729,596,5058,555
13,13,5,2,1084,6999,438,7479,344,5489,433,4846,458,4654,439,4252,537,4834,516,4852,505,5745,471,5602,372,4875,457,5312,538
15,14,5,2,824,3114,291,3485,253,2542,287,2264,274,2152,347,1982,357,2195,348,2319,470,2808,379,2861,317,2569,421,2737,474
16,15,5,2,770,2813,263,3298,271,2469,267,2246,285,2209,332,1962,369,2076,394,2014,455,2657,353,2455,348,2210,428,2489,459
8,16,5,2,560,5879,58,6806,174,7349,189,6204,205,5739,161,4979,153,5673,130,5755,99,7550,91,7118,101,5610,84,5633,62
9,17,5,2,183,1182,68,1204,55,1168,61,980,65,929,56,796,59,873,47,869,57,1147,42,1060,39,819,50,1008,45
19,18,5,2,363,1399,173,1652,118,1344,113,1191,119,1159,207,1125,154,1219,160,1191,119,1351,108,1238,151,1037,126,1064,110
4,19,5,2,787,5774,379,6768,249,5232,251,4635,265,4442,277,4063,338,4499,249,4731,374,6349,267,5872,205,5166,292,5374,350
1,20,5,2,503,2176,206,1974,157,1866,153,1607,150,1486,145,1409,260,1554,181,1559,192,2076,214,1957,209,1576,182,2270,216
20,21,5,2,461,2736,167,2580,172,2667,200,2748,295,2772,195,2365,243,2581,241,2371,219,2778,279,2683,210,2260,288,2596,180
3,0,6,1,456,4987,125,4089,304,4195,246,3560,278,5196,163,5115,179,5114,202,5592,242,6438,199,8164,305,7965,514,8485,151
12,1,6,1,4112,10812,2579,9142,2548,7009,2351,5709,2960,7770,2437,7005,2748,7055,3368,8141,3303,8782,2808,10491,3641,10585,6231,12907,3870
7,2,6,1,2166,5520,1096,4642,1300,4281,1076,3278,1493,4350,1193,3876,1334,3867,1452,4096,1749,4782,1354,5463,1585,5613,2844,6246,2093
2,3,6,1,567,2074,257,1517,434,1484,313,1155,361,1438,329,1429,346,1483,368,1699,502,2102,360,2534,520,2904,675,2822,504
18,4,6,1,1203,3388,557,2785,1124,2917,894,2297,1170,3080,1034,2986,1023,2809,1010,3093,1135,3349,824,3905,1154,4276,1710,4534,924
21,5,6,1,721,2569,458,2142,819,2071,646,1571,736,2048,776,2128,785,2178,835,2583,795,2958,518,3261,816,3831,982,3574,506
0,6,6,1,365,3369,138,3267,302,3228,182,2283,202,2657,234,2430,212,2462,256,2515,234,2865,168,3386,249,2708,477,3085,199
10,7,6,1,2358,9156,1736,8410,2075,8114,1392,6032,1679,7533,1539,6687,1776,6534,1799,7461,1764,8112,1493,10117,1942,8749,3067,9539,2165
14,8,6,1,1411,7690,1111,5553,1340,8080,943,5924,1216,7668,1213,6942,1206,6503,1016,7121,1295,8708,1112,10096,1294,8963,2062,9388,1260
5,9,6,1,2289,4473,1946,4589,1532,3383,1224,2592,1396,3538,1210,3224,1260,2951,1418,3297,1458,3684,1238,4674,1535,3956,2328,4308,2152
17,10,6,1,670,2703,399,2553,702,3245,458,2404,576,2860,545,2764,512,2699,565,3161,573,3274,523,3760,688,3332,892,3443,592
11,11,6,1,1882,3102,1085,3285,1047,2796,877,2189,1066,2691,892,2382,885,2241,890,2481,1111,2921,824,3220,980,2922,1510,2935,1290
6,12,6,1,5481,11802,3478,9999,2813,8028,2653,6233,3587,8599,2963,7561,3398,8176,3600,9416,3519,9862,3268,11551,3907,10638,6576,12737,4483
13,13,6,1,7051,19036,4158,17856,3545,12517,2891,9700,3967,12780,3302,11803,3413,11238,3591,12713,3584,13899,3821,17326,4668,16127,7650,18815,5825
15,14,6,1,1923,4759,1058,4767,1238,3901,1013,3076,1221,4028,954,3860,900,3630,992,3926,1202,4428,958,5380,1353,4740,2198,5249,1919
16,15,6,1,2637,5196,1476,5124,1924,4488,1609,3506,1715,4265,1491,3796,1500,3614,1678,3926,1773,4577,1354,5027,1770,4775,2693,5136,2364
8,16,6,1,2118,14106,794,14535,1712,17264,1309,13435,1820,16928,1577,15885,1457,15784,1550,16997,1999,18607,1555,20775,2007,17820,3029,18532,1611
9,17,6,1,4779,5444,2843,5160,2715,4972,1831,3882,2371,4841,1991,4543,2051,4419,2291,4759,2515,5433,2293,5650,2687,5221,4443,5362,3084
19,18,6,1,370,1541,194,1589,204,1450,191,1115,258,1540,225,1525,203,1420,204,1563,284,1767,201,2056,250,1710,357,1919,250
4,19,6,1,1772,8433,1289,8463,1498,7095,1056,5723,1064,7685,1118,7243,1183,6961,1230,7852,1449,9769,1007,11468,1411,10585,1954,11477,1724
1,20,6,1,4147,6548,2559,5892,2705,5542,2130,4420,2397,5620,2353,5798,2868,5524,2565,5779,3307,7238,3096,7811,3216,7306,4503,7808,4785
20,21,6,1,2683,5882,1145,4839,1221,4816,1008,4366,1213,5670,1083,5051,1173,5035,1245,5065,1658,6047,1590,7146,1877,6771,3217,7864,2072
3,0,7,3,709,3344,188,2659,412,3000,270,2904,321,3662,429,4049,521,4499,473,4067,498,4079,257,4308,444,4187,824,4242,105
12,1,7,3,1410,5100,574,4101,511,3533,495,3305,710,3986,678,3642,854,3625,909,3681,987,4130,969,4123,1064,4045,2232,4410,950
7,2,7,3,381,2124,136,1788,144,1673,177,1649,203,1932,154,1735,257,1812,272,1776,308,1993,299,1973,372,1995,645,2081,313
2,3,7,3,382,2033,134,1447,111,1346,109,1200,155,1357,125,1299,168,1206,136,1254,222,1577,206,1656,310,1995,562,2081,284
18,4,7,3,298,2266,143,1759,177,1786,163,2024,241,2327,231,2278,300,2427,418,2169,415,2179,275,2140,422,2081,561,2089,181
21,5,7,3,218,1840,96,1588,119,1493,141,1372,163,1666,123,1563,259,1613,159,1602,164,1764,109,1885,207,1869,305,1801,102
0,6,7,3,632,2343,139,2300,307,2440,248,1895,310,2082,413,2006,581,2034,617,2041,628,2222,446,2149,636,1916,846,2041,241
10,7,7,3,2659,6443,1526,5814,1242,5826,1231,5268,1592,5846,1724,5570,1702,6023,2067,5631,2163,5792,1918,6440,2283,5813,3836,5875,1631
14,8,7,3,1214,5287,628,3995,712,5213,672,4419,814,4761,952,4434,886,4373,1003,4460,1067,5359,1140,5611,1205,5051,1850,5131,574
5,9,7,3,1338,3073,744,3142,404,2813,412,2332,563,2693,701,2863,945,3152,973,2706,1078,2722,1023,3250,1260,2796,2243,2913,1186
17,10,7,3,498,1820,137,1641,249,1893,221,1643,268,1881,357,1949,422,2160,486,2351,645,2501,645,2590,746,2372,1041,2369,462
11,11,7,3,1035,1969,446,1959,244,1440,251,1372,345,1558,361,1421,411,1435,440,1519,542,1814,547,1929,676,1751,1270,1761,658
6,12,7,3,1919,6165,875,5302,851,4713,1042,4628,1265,5544,1160,4920,1176,5046,1294,5095,1622,5461,1536,5515,1637,5082,2998,5259,1261
13,13,7,3,2054,6456,870,5884,634,4833,824,4542,900,4934,1091,4827,1257,5135,1337,5087,1548,5724,1431,6184,1720,5703,3243,6132,1894
15,14,7,3,1033,2614,420,2477,379,2113,335,1969,349,2319,502,2385,356,2323,435,2366,576,2289,710,2704,866,2490,1354,2553,755
16,15,7,3,1096,2614,420,2512,360,2140,426,2074,538,2513,599,2463,590,2412,709,2358,844,2696,687,2739,982,2686,1756,2913,938
8,16,7,3,1196,5765,240,5790,608,6666,631,6154,1027,7182,923,7141,1121,7399,1670,7559,1369,8480,1274,8809,1967,7855,3191,8005,905
9,17,7,3,312,1162,168,1118,141,1026,105,892,142,1106,190,1114,192,1102,188,1096,232,1272,252,1383,337,1249,697,1376,471
19,18,7,3,669,1575,328,1530,299,1446,375,1397,484,1774,631,1928,758,2034,749,2025,722,1899,571,1770,643,1594,1136,1817,557
4,19,7,3,1265,5584,770,5784,584,4873,606,4812,603,5436,636,5348,717,5697,777,5578,1042,6521,762,6457,1080,6166,1730,6340,983
1,20,7,3,337,1413,148,1306,154,1213,145,1144,172,1371,143,1385,197,1354,189,1368,278,1628,304,1770,365,1633,493,1521,290
20,21,7,3,771,2873,225,2448,254,2540,261,2597,399,3188,506,3027,811,3344,726,3091,652,3188,682,3330,805,3079,1567,3562,639
3,0,8,3,1794,729,612,729,1376,779,1000,804,1124,1014,1019,900,1062,764,1143,840,1276,762,969,817,1288,791,2146,859,1327
12,1,8,3,1886,930,842,947,1063,717,923,752,1024,1089,961,776,977,599,1321,635,1377,662,1264,688,1433,649,1923,712,1604
7,2,8,3,1214,452,558,462,679,396,602,375,669,526,598,377,604,325,750,322,729,308,770,341,798,340,1203,344,945
2,3,8,3,624,332,266,299,342,244,266,243,364,304,340,233,407,218,480,215,482,246,477,265,451,280,580,271,494
18,4,8,3,263,277,160,271,216,222,236,249,253,332,279,244,277,237,296,247,261,217,247,207,251,187,310,194,270
21,5,8,3,183,193,116,228,156,177,121,171,150,232,115,204,124,166,187,194,159,166,142,175,152,167,169,191,104
0,6,8,3,1357,630,406,686,900,653,712,536,656,624,680,525,680,487,720,505,820,525,623,570,807,492,1293,558,851
10,7,8,3,2309,1575,1242,1694,1350,1446,1122,1332,1198,1443,1215,1165,1276,1027,1793,1168,1838,1159,1848,1329,1951,1190,2643,1263,1820
14,8,8,3,1114,1154,584,1104,577,1119,432,984,444,1036,464,847,536,761,601,846,733,917,722,1066,894,949,1112,1051,767
5,9,8,3,1168,830,475,1042,554,685,507,608,478,698,422,564,472,522,667,585,840,610,774,679,803,577,1070,665,953
17,10,8,3,584,411,162,500,321,474,213,408,189,424,158,333,212,342,189,397,235,400,212,467,345,381,456,405,397
11,11,8,3,722,338,233,471,355,298,293,295,295,308,274,255,321,208,334,246,419,296,377,333,424,288,571,303,408
6,12,8,3,1944,1157,957,1245,1035,963,932,909,915,1291,988,960,988,872,1162,904,1315,909,1224,958,1513,902,1837,924,1329
13,13,8,3,1577,1464,731,1720,827,1187,723,1188,780,1470,738,1170,834,998,1010,1021,1081,1101,952,1201,1113,1103,1482,1191,1178
15,14,8,3,523,557,233,688,258,473,236,431,284,483,317,391,260,365,295,394,373,433,329,460,377,387,483,435,446
16,15,8,3,747,534,340,689,403,500,317,471,301,523,333,462,339,429,383,416,464,439,438,521,477,448,783,461,487
8,16,8,3,542,1227,134,1417,313,1349,221,1285,266,1435,335,1262,313,1182,351,1220,438,1312,425,1451,536,1310,825,1377,423
9,17,8,3,218,239,128,233,156,208,79,193,110,245,114,214,93,204,121,211,141,199,135,220,160,200,243,214,179
19,18,8,3,800,379,413,421,369,335,328,343,342,411,482,371,408,341,414,370,486,342,426,371,491,293,644,330,555
4,19,8,3,933,1214,548,1515,541,1090,447,1071,452,1282,487,1080,585,988,715,1023,1123,1165,634,1307,781,1155,1105,1215,856
1,20,8,3,572,494,255,486,271,429,184,388,252,461,242,388,468,365,405,406,456,452,394,508,535,436,639,457,509
20,21,8,3,789,532,424,547,439,538,293,540,395,685,348,541,388,503,413,423,568,494,617,494,622,463,758,516,719
3,0,9,2,458,1904,72,1919,162,1929,260,4607,324,7416,331,7337,345,6748,369,7008,502,4830,362,8871,440,8932,598,6228,212
12,1,9,2,1775,4276,770,3904,1146,3482,1445,3790,1808,4158,1966,4255,2293,4043,2864,4285,3253,7672,2277,10510,2327,10548,2703,8374,2119
7,2,9,2,639,1454,250,1381,365,1390,433,1433,477,1483,430,1414,532,1379,655,1398,690,2591,724,2957,762,3204,993,3099,533
